"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","41/656","224/9521",0.183035714285714,2.65652901785714,6.82468585872487,5.80689525510852e-09,1.6945576153544e-07,1.12803802563352e-07,"3118/3117/3127/3122/3123/3108/3119/958/3113/3109/3115/115650/3111/3112/6688/3569/4088/5530/1026/4214/6929/5925/5533/7094/293/3716/5728/200186/5594/5534/1388/119504/5901/5290/5605/291/581/208/4775/7514/2224",41
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","24/656","93/9521",0.258064516129032,3.74547600314713,7.23736312589586,1.01274364895279e-08,2.70908926094871e-07,1.80339439243347e-07,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/3112/3460/6778/3566/5530/3459/4794/5533/3716/5594/5534/4853/4775",24
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","30/656","138/9521",0.217391304347826,3.15515641569459,6.93710877822692,1.17917927905973e-08,2.91166575829363e-07,1.93824610242206e-07,"10094/8935/3676/10451/3569/387/10096/5880/81873/7456/3654/10097/2185/382/6093/5747/10109/10093/10163/391/9844/8874/9815/5594/7454/5290/5605/208/4775/148022",30
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","17/656","50/9521",0.34,4.93466463414634,7.58797391996705,1.66042347642943e-08,3.80711382809891e-07,2.53433056928702e-07,"3118/3117/3127/3122/3123/3108/3119/958/3113/3109/3115/115650/3111/3112/7852/3676/3569",17
"Human Diseases","Immune disease","hsa05310","Asthma","13/656","32/9521",0.40625,5.89619855182927,7.54666046429891,7.16822378277357e-08,1.53399988951354e-06,1.02115749326529e-06,"3118/3117/3127/3122/3123/3108/3119/958/3113/3109/3115/3111/3112",13
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","21/656","82/9521",0.25609756097561,3.71692816775729,6.72129741832266,9.80590681479225e-08,1.9673100547177e-06,1.30960466013344e-06,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/4261/3112/972/1520/3308/5993/6892/3304/6891/10197",21
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","23/656","100/9521",0.23,3.33815548780488,6.39375381913168,2.05536026791878e-07,3.88100380001134e-06,2.58351785998459e-06,"931/3118/3117/3127/930/3122/3123/2208/3108/3119/3113/3109/933/3115/100133941/3111/1380/3112/951/3676/3569/3566/1604",23
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","18/656","66/9521",0.272727272727273,3.95828713968958,6.56013158468722,2.89818612043301e-07,5.16843191477219e-06,3.4405367394614e-06,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/3112/3460/3569/6778/3566/4088/3459",18
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","24/656","112/9521",0.214285714285714,3.11008275261324,6.11037393756534,4.56588721256557e-07,7.71394629070288e-06,5.13504212825933e-06,"3118/3117/3127/3122/3123/3108/3119/958/3113/3109/3115/3111/4261/3112/240/3460/596/3654/3459/5294/3304/3716/5594/208",24
"Human Diseases","Immune disease","hsa05330","Allograft rejection","13/656","39/9521",0.333333333333333,4.83790650406504,6.5329260552666,1.06753579525188e-06,1.71339495137927e-05,1.1405777180849e-05,"3118/3117/3127/3122/3123/3108/3119/958/3113/3109/3115/3111/3112",13
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","21/656","95/9521",0.221052631578947,3.20829589216945,5.88418574316542,1.39373201439398e-06,2.13041893628793e-05,1.41818345324299e-05,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/3112/3569/535/533/9114/4050/54/8992/9550/9296",21
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","25/656","133/9521",0.18796992481203,2.72814276545021,5.45946293081934,3.42513538330681e-06,4.99758390018858e-05,3.32680613785303e-05,"1522/23062/7805/1512/162/9476/1520/1657/2760/535/9741/533/9114/4126/54/4125/10577/1200/427/8763/4074/1213/8546/1176/8905",25
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","13/656","44/9521",0.295454545454545,4.28814440133038,5.94665582447608,4.9469186452267e-06,6.90417776138162e-05,4.5959930662747e-05,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/3112/3329",13
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","13/656","45/9521",0.288888888888889,4.19285230352304,5.83987543905902,6.52371628352919e-06,8.72547052922029e-05,5.80839651559835e-05,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/3112/3569",13
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","37/656","251/9521",0.147410358565737,2.13947259741522,4.97659046465745,7.99999327175205e-06,0.000102719913609296,6.8378889859607e-05,"10094/8767/3569/596/51429/5287/387/10096/81873/3071/3654/10097/388/399/382/23207/5294/10109/10093/10376/391/9844/1785/5594/837/64746/5878/5290/5605/10006/4074/581/208/51143/55845/203068/127829",37
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","37/656","253/9521",0.146245059288538,2.12255977055818,4.92274960709094,9.62358984742887e-06,0.000118814320808641,7.90926614991118e-05,"5336/10094/8767/596/387/989/3708/10096/5581/81873/10097/115004/7188/382/6093/5747/23291/7094/10109/10093/5580/10163/10892/92610/9844/7334/823/5594/7321/837/8915/5290/581/208/9181/5481/8678",37
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","16/656","70/9521",0.228571428571429,3.31742160278746,5.29354017446774,1.59634528922018e-05,0.000189787717718399,0.000126338438094229,"3118/3117/3127/3122/3123/3108/3119/958/3113/3109/3115/3111/3112/5880/8672/1604",16
