"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.058148866815e-17,1.09503902437062,0.384,0.335,1.09979330811159e-12,"T_cells","PPP1R10"
6.02483193211409e-17,0.89328005251493,0.42,0.365,1.30997920699957e-12,"T_cells","JMY"
2.50080140496294e-16,1.20034788700346,0.328,0.277,5.43749249481092e-12,"T_cells","RHBDD2"
2.7827633041508e-16,0.589494764192878,0.717,0.729,6.05056225221509e-12,"T_cells","IRF1"
3.83580197570745e-16,0.494135560954039,0.745,0.802,8.34018423578071e-12,"T_cells","DDX3X"
5.07913408919044e-16,0.32017181301469,0.789,0.873,1.10435612501268e-11,"T_cells","GAS5"
6.68248325915777e-16,1.12696413492806,0.289,0.229,1.45297233503867e-11,"T_cells","ITGAL"
9.25130220557655e-16,0.798566846810697,0.412,0.36,2.01151063855851e-11,"T_cells","ICAM2"
1.89233291407516e-15,0.949019795772169,0.367,0.312,4.11449945507362e-11,"T_cells","AC008105.3"
3.1676103378412e-15,1.1269855484516,0.277,0.219,6.88733515756812e-11,"T_cells","ZBTB25"
4.01008315122908e-15,1.03958853148197,0.292,0.237,8.7191237957174e-11,"T_cells","CLPP"
6.69300338908198e-15,0.592193995960435,0.284,0.217,1.45525972688809e-10,"T_cells","CTSD"
8.34878410990021e-15,0.408840264441746,0.893,0.927,1.8152761290156e-10,"T_cells","SLC2A3"
9.87518781104855e-15,1.01110018268966,0.338,0.287,2.14716208575629e-10,"T_cells","STX16"
1.06742477735364e-14,0.630136379732296,0.576,0.567,2.32090169340003e-10,"T_cells","CDKN1B"
1.39539492371277e-14,0.92974138281134,0.323,0.265,3.03400718262868e-10,"T_cells","IRS2"
1.63899322425872e-14,0.592577565687696,0.697,0.723,3.56366296750574e-10,"T_cells","CLK1"
1.86855099449016e-14,0.382497868939331,0.684,0.718,4.06279042731996e-10,"T_cells","MZT2B"
2.19033777097883e-14,0.544091104710404,0.631,0.651,4.76245141543928e-10,"T_cells","GUK1"
2.73378486459879e-14,0.725049022446498,0.58,0.58,5.94406843109716e-10,"T_cells","HNRNPH1"
4.67607939437457e-14,1.26967995940226,0.294,0.239,1.01671994271886e-09,"T_cells","SNHG9"
5.49419437794708e-14,0.578562590249483,0.457,0.418,1.19460268359703e-09,"T_cells","ABRACL"
6.13154791056579e-14,0.410094083283117,0.283,0.402,1.33318246219432e-09,"T_cells","GABPB1-AS1"
8.61299954438492e-14,0.537691450818287,0.808,0.844,1.87272449093561e-09,"T_cells","CCNL1"
1.65346729878368e-13,0.82549858434644,0.425,0.382,3.59513394774535e-09,"T_cells","BCL3"
1.69650883497583e-13,0.940620097047422,0.381,0.339,3.68871915988795e-09,"T_cells","HECA"
2.07368401752772e-13,0.818965525104845,0.342,0.296,4.50881115931052e-09,"T_cells","GRPEL1"
2.888159326609e-13,0.502257896912521,0.801,0.864,6.27972482384595e-09,"T_cells","DNAJB6"
4.08116911591127e-13,0.505793569453684,0.341,0.468,8.87368600872587e-09,"T_cells","LINC-PINT"
4.76648914384886e-13,0.512779796328672,0.715,0.791,1.03637773454706e-08,"T_cells","CYCS"
5.75110820275639e-13,0.547178250036814,0.653,0.695,1.25046345652532e-08,"T_cells","G3BP2"
6.25208043522892e-13,0.506146722764587,0.583,0.581,1.35938984903182e-08,"T_cells","CD99"
9.35151800455611e-13,0.877783882006468,0.358,0.301,2.03330055973063e-08,"T_cells","HES4"
2.08984801654046e-12,0.720027328434599,0.416,0.385,4.54395654236392e-08,"T_cells","C9orf78"
3.36497864063296e-12,1.12885103519131,0.355,0.324,7.31647305832826e-08,"T_cells","PIK3R1"
4.22712927081888e-12,1.07456328531334,0.351,0.32,9.1910471735415e-08,"T_cells","CDK16"
4.36451012427338e-12,0.517587781181567,0.678,0.7,9.48975436320761e-08,"T_cells","HLA-F"
4.62253466911943e-12,0.30059759817243,0.787,0.878,1.00507771310664e-07,"T_cells","HNRNPA0"
6.37334181048396e-12,0.273705505546977,0.246,0.357,1.38575570985353e-07,"T_cells","PSME4"
7.6779385255782e-12,0.48085431893771,0.816,0.888,1.66941417361647e-07,"T_cells","NFKB1"
7.9123873916416e-12,0.403302790867482,0.312,0.243,1.72039039056463e-07,"T_cells","PDE4D"
8.77559184662146e-12,0.651091180248954,0.523,0.513,1.9080769352109e-07,"T_cells","PPP1CB"
8.80414137124427e-12,0.68782023728046,0.686,0.731,1.91428445834964e-07,"T_cells","CCR7"
9.77745494275901e-12,0.289957979611161,0.764,0.832,2.12591202820409e-07,"T_cells","SNRPD2"
1.29016724403029e-11,0.775270863401454,0.474,0.458,2.80521063869505e-07,"T_cells","TIPARP"
1.59489743904255e-11,0.990546355734838,0.275,0.229,3.46778550171021e-07,"T_cells","RNF166"
1.72374962297623e-11,0.365918327867894,0.308,0.429,3.74794880523721e-07,"T_cells","SIK3"
2.22427473854657e-11,0.253014554866695,0.303,0.41,4.83624056402182e-07,"T_cells","SPAG9"
2.67332864373725e-11,0.934254394626418,0.341,0.302,5.8126184700779e-07,"T_cells","TFRC"
3.13586217911008e-11,0.713409558540933,0.529,0.537,6.81830513603904e-07,"T_cells","RESF1"
3.31264664563797e-11,0.408605059541459,0.683,0.698,7.20268760161063e-07,"T_cells","CREM"
